,VM,FC,ASH,HHV
0,70.06,27.47,2.47,21.9
1,74.0,24.1,1.9,20.0
2,66.2,31.7,2.1,21.0
3,51.9,45.6,2.5,24.2
4,88.57,11.34,0.09,20.21
5,87.97,11.94,0.08,20.01
6,85.15,14.76,0.09,20.78
7,82.64,17.27,0.1,20.51
8,73.78,26.09,0.13,22.93
9,88.19,11.25,0.56,23.76
10,83.4,16.04,0.55,24.57
11,79.67,19.68,0.65,25.33
12,86.67,12.99,0.34,23.68
13,81.37,18.41,0.22,24.67
14,75.47,24.28,0.25,25.08
15,82.62,16.21,1.17,18.9
16,79.2,19.36,1.44,20.45
17,70.91,26.55,2.54,22.35
18,70.4,18.9,10.7,18.5
19,68.7,20.8,10.5,19.18
20,64.7,23.1,12.2,19.65
21,65.8,22.6,11.6,19.79
22,58.7,29.5,11.8,21.12
23,81.96,17.12,0.92,19.87
24,79.25,18.76,1.99,20.61
25,65.34,32.64,2.02,23.17
26,74.7,19.3,6.0,19.01
27,64.2,28.3,7.5,21.28
28,61.9,29.9,8.2,21.45
29,49.4,40.0,10.6,23.83
30,74.0,19.5,6.5,19.3
31,72.5,20.5,7.0,19.5
32,72.0,21.2,6.8,19.4
33,70.0,22.0,8.0,21.0
34,64.0,27.0,9.0,20.7
35,58.5,30.0,11.5,21.9
36,62.0,28.0,10.0,22.0
37,53.0,32.0,15.0,23.3
38,49.0,38.0,13.0,23.1
39,74.25,18.56,7.19,17.09
40,69.76,20.32,9.92,18.85
41,56.23,32.49,11.28,20.31
42,30.85,59.0,10.15,30.54
43,23.91,67.23,8.87,31.47
44,39.73,52.25,8.02,30.79
45,22.32,63.41,14.27,29.28
46,66.81,31.59,1.6,22.44
47,69.78,28.22,2.0,23.81
48,58.97,38.83,2.2,26.7
49,75.0,24.7,0.3,20.6
50,70.9,28.9,0.2,21.5
51,55.6,44.1,0.3,23.9
52,41.9,57.9,0.4,26.0
53,38.9,62.0,0.1,26.0
54,66.0,33.8,0.2,20.8
55,49.5,50.2,0.3,23.3
56,43.8,55.9,0.3,22.8
57,41.7,57.8,0.3,22.0
58,38.8,60.7,0.4,22.3
59,80.5,19.0,0.5,19.6
60,78.7,20.8,0.5,20.1
61,75.4,23.9,0.7,22.2
62,74.5,24.5,1.0,21.8
63,73.3,25.8,0.9,22.5
64,74.1,24.9,1.0,21.9
65,79.1,20.1,0.8,19.7
66,72.9,26.2,0.9,20.6
67,69.6,29.2,1.2,22.7
68,69.2,30.4,0.4,22.8
69,69.5,29.6,0.9,22.9
70,68.5,30.3,1.2,23.3
71,76.0,23.2,0.8,20.8
72,69.0,30.1,0.9,22.8
73,67.0,31.9,1.1,23.4
74,61.5,36.9,1.6,25.0
75,59.6,39.1,1.3,25.2
76,73.77,25.34,0.89,22.7
77,16.52,81.04,2.44,32.4
78,69.3,29.2,1.4,24.32
79,67.7,31.3,1.1,24.84
80,67.1,30.9,1.9,25.75
81,64.6,33.7,1.7,25.65
82,64.6,33.2,2.1,26.1
83,58.6,37.9,3.4,27.03
84,54.3,43.0,2.7,28.31
85,63.9,27.8,8.2,23.12
86,51.2,38.2,10.5,25.29
87,71.48,27.52,1.0,22.97
88,70.85,27.55,1.6,22.63
89,63.24,34.66,2.1,23.79
90,79.1,19.72,1.15,21.31
91,78.08,20.69,1.21,21.12
92,86.9,12.6,0.5,21.09
93,84.9,14.5,0.6,21.27
94,84.1,15.4,0.5,21.49
95,83.7,15.7,0.6,21.47
96,83.0,16.0,1.0,21.19
97,83.0,15.8,1.2,21.24
98,79.6,19.5,0.9,23.39
99,76.1,22.7,1.2,23.71
100,77.6,21.5,0.9,23.98
101,77.3,21.6,1.1,23.83
102,81.6,17.3,1.1,21.66
103,71.3,27.8,0.9,23.19
104,67.5,30.8,1.7,23.89
105,66.2,32.3,1.5,23.94
106,60.0,38.2,1.8,25.34
107,85.3,14.0,0.7,21.0
108,84.3,14.9,0.8,21.2
109,82.2,16.9,0.9,21.2
110,73.8,24.9,1.3,22.8
111,76.6,22.1,1.3,21.2
112,69.8,28.9,1.4,23.3
113,61.8,36.7,1.5,24.4
114,78.6,20.8,0.6,22.7
115,76.4,22.8,0.8,24.0
116,59.9,38.6,1.4,26.3
117,74.29,23.2,2.45,20.38
118,73.03,24.49,2.51,20.81
119,72.8,23.8,3.4,18.9
120,62.7,33.2,4.0,21.3
121,46.5,47.7,5.8,24.6
122,83.3,15.7,0.5,19.9
123,81.9,17.5,0.7,21.4
124,68.9,30.3,0.9,25.7
125,84.8,14.2,0.9,20.3
126,65.24,33.33,1.43,21.6
127,78.2,20.47,1.33,20.6
128,61.6,36.45,1.95,24.5
129,82.3,13.35,4.35,19.1
130,81.74,13.37,4.9,19.37
131,81.43,12.69,5.88,20.43
132,80.35,14.79,4.86,19.45
133,79.84,14.41,5.75,21.81
134,64.87,27.23,7.9,21.57
135,63.9,27.3,8.9,20.1
136,56.6,32.4,11.0,21.4
137,41.3,44.4,14.3,23.4
138,32.8,52.4,14.8,23.7
139,29.1,55.3,15.5,23.9
140,39.2,44.8,16.0,20.3
141,33.9,46.2,19.9,18.9
142,32.3,45.7,22.1,19.1
143,29.4,44.1,26.6,17.5
144,25.3,38.4,36.4,14.9
145,70.9,24.7,4.5,20.2
146,66.4,28.6,5.0,21.21
147,63.5,31.1,5.4,21.95
148,61.0,33.4,5.6,22.48
149,53.0,40.6,6.4,24.41
150,77.1,22.53,0.37,22.0
151,15.98,82.74,1.28,33.3
152,60.78,23.17,16.05,20.67
153,67.4,24.8,7.8,21.53
154,63.8,28.3,7.9,21.89
155,51.1,39.4,9.5,24.18
156,68.91,25.59,5.5,20.92
157,61.45,31.73,6.82,21.38
158,54.72,37.27,8.01,20.99
159,51.11,40.24,8.65,21.77
160,79.1,20.9,0.4,19.6
161,74.0,25.5,0.5,20.6
162,65.3,34.2,0.5,22.7
163,83.87,16.02,0.11,20.48
164,75.66,24.16,0.18,22.23
165,69.53,30.21,0.26,22.54
166,46.23,53.32,0.44,29.1
167,45.1,54.41,0.49,29.28
168,35.56,63.94,0.5,29.87
169,70.1,27.88,2.02,23.52
170,73.29,25.85,0.86,21.8
171,25.72,72.56,1.72,30.7
172,69.86,28.11,2.03,22.5
173,15.66,80.73,3.61,32.1
174,72.38,25.34,2.38,20.56
175,64.31,32.84,2.85,22.91
176,65.05,19.87,15.09,16.63
177,60.78,23.03,16.19,16.92
178,54.83,27.64,17.54,17.53
179,40.06,37.68,22.26,17.95
180,14.17,40.78,45.05,17.68
181,13.3,44.43,42.27,18.55
182,63.44,17.12,19.44,18.53
183,59.16,20.66,20.18,18.73
184,15.94,42.24,41.82,18.12
185,15.19,40.81,44.0,17.52
186,71.68,12.85,15.47,17.03
187,18.77,33.61,47.62,24.51
188,26.94,29.85,43.2,22.96
189,68.9,16.2,14.9,17.38
190,62.5,19.6,17.9,18.45
191,59.8,21.7,18.5,18.78
192,58.9,22.2,18.9,18.89
193,46.0,30.0,24.0,20.73
194,77.5,18.0,4.5,20.3
195,75.0,19.7,5.3,21.3
196,74.5,20.0,5.5,21.4
197,72.0,21.8,6.2,21.2
198,69.0,26.5,4.5,22.6
199,62.0,32.0,6.0,24.6
200,58.0,37.0,5.0,26.5
201,44.0,48.0,8.0,28.5
202,43.5,49.0,7.5,28.6
203,79.62,20.28,0.1,22.08
204,78.07,21.63,0.3,22.33
205,71.51,28.09,0.4,23.61
206,75.65,24.15,0.2,22.05
207,82.56,17.36,0.08,22.35
208,81.51,18.39,0.1,22.64
209,85.72,14.17,0.11,20.81
210,84.64,15.22,0.14,21.02
211,83.92,15.95,0.12,21.33
212,81.87,18.04,0.09,21.51
213,74.74,25.12,0.14,22.97
214,82.4,17.06,0.54,25.26
215,80.76,18.72,0.52,26.05
216,74.82,24.68,0.5,26.59
217,82.29,17.36,0.35,24.91
218,78.79,21.0,0.21,25.89
219,72.83,26.96,0.21,26.45
220,75.19,24.33,0.48,16.55
221,80.21,19.37,0.44,19.53
222,84.0,15.7,0.3,20.59
223,80.3,19.3,0.4,21.42
224,77.5,22.1,0.4,22.14
225,77.3,22.3,0.4,22.19
226,76.2,23.4,0.4,22.33
227,51.5,47.8,0.7,27.59
228,73.8,18.6,7.6,18.76
229,66.7,23.8,9.5,20.01
230,67.4,23.0,9.6,20.01
231,58.4,31.7,9.9,21.65
232,67.52,27.51,4.98,27.11
233,78.99,17.38,3.63,23.53
234,62.63,31.45,5.91,22.27
235,65.6,25.0,9.4,18.1
236,51.8,35.9,12.4,20.7
237,39.8,45.1,15.2,23.0
238,55.5,24.22,20.28,19.4
239,73.43,26.07,0.5,22.09
240,71.89,27.41,0.7,22.64
241,62.5,36.4,1.1,23.93
242,74.03,23.82,2.15,21.8
243,77.43,21.04,1.53,21.0
244,68.34,29.83,1.84,23.6
